 320.228  -0.263            16296.621     3259.324   0.337  0.000   0.000   0.000   0.000   PCCS2
 170.585 -11.662            16032.000     3206.400   1.068  0.000   0.000   0.000   0.000    GB6
 111.539   0.816            15536.000     3107.200   0.305  0.000   0.000   0.000   0.000    GB6
  51.105   0.063            15121.210     3024.242   0.425  0.000   0.000   0.000   0.000   PCCS2
 206.543 -16.340            15108.700     3021.740  -0.120  0.000   0.000   0.000   0.0000 NVSS
 326.276  -0.466            15047.537     3009.507   0.295  0.000   0.000   0.000   0.000   PCCS2
 130.715   3.082            14608.000     2921.600   0.470  0.000   0.000   0.000   0.000    GB6
 342.227   0.210            14498.349     2899.670  -0.120  0.000   0.000   0.000   0.000   PCCS2
  86.112 -38.184            14468.000     2893.600  -0.156  0.000   0.000   0.000   0.000    GB6
 322.145   0.607            14457.404     2891.481   2.000  0.000   0.000   0.000   0.000   PCCS2
 359.842  -0.400            14178.500     2835.700  -0.646  0.000   0.000   0.000   0.0001 NVSS
  35.196  -1.746            13997.000     2799.400   0.479  0.000   0.000   0.000   0.000    GB6
 319.204  -0.280            13965.626     2793.125   0.552  0.000   0.000   0.000   0.000   PCCS2
   9.344 -19.607            13837.000     2767.400   0.385  0.000   0.000   0.000   0.000    AT20G
 341.165  -0.142            13801.549     2760.310  -0.864  0.000   0.000   0.000   0.000   PCCS2
   0.063  -0.332            13696.200     2739.240   0.779  0.000   0.000   0.000   0.0001 NVSS
 189.070   3.019            13654.310     2730.862   1.155  0.000   0.000   0.000   0.000   PCCS2
 308.697   0.617            13562.276     2712.455   0.121  0.000   0.000   0.000   0.000   PCCS2
 359.878  -0.095            13275.300     2655.060  -0.565  0.000   0.000   0.000   0.0001 NVSS
   0.054  -0.234            13131.800     2626.360  -2.000  0.000   0.000   0.000   0.0001 NVSS
 359.804  -0.296            12904.000     2580.800  -0.813  0.000   0.000   0.000   0.0001 NVSS
  34.252   0.142            12901.000     2580.200   0.645  0.000   0.000   0.000   0.000    GB6
 328.274   0.348            12634.224     2526.845   0.486  0.000   0.000   0.000   0.000   PCCS2
  76.383  -0.622            12281.000     2456.200   0.969  0.000   0.000   0.000   0.000    GB6
  43.259  -0.182            11840.000     2368.000  -0.319  0.000   0.000   0.000   0.000    GB6
  23.049  28.939            11596.000     2319.200   1.043  0.000   0.000   0.000   0.000    GB6
 133.788   1.419            11455.000     2291.000   0.441  0.000   0.000   0.000   0.000    GB6
 206.183  -2.310            11253.384     2250.677   0.204  0.000   0.000   0.000   0.000   PCCS2
 307.664  -0.275            11209.244     2241.849   0.364  0.000   0.000   0.000   0.000   PCCS2
 293.634  -1.401            11108.706     2221.741   0.424  0.000   0.000   0.000   0.000   PCCS2
  55.470 -35.577            10938.000     2187.600   0.699  0.000   0.000   0.000   0.000    GB6
  30.784  -0.026            10845.300     2169.060   1.108  0.000   0.000   0.000   0.0001 NVSS
 305.656   1.513            10650.644     2130.129  -0.364  0.000   0.000   0.000   0.000   PCCS2
 123.138  -6.272            10212.148     2042.430   0.309  0.000   0.000   0.000   0.000   PCCS2
 357.646  -0.078             9897.100     1979.420  -0.792  0.000   0.000   0.000   0.0001 NVSS
   0.153  -0.143             9732.800     1946.560  -0.090  0.000   0.000   0.000   0.0001 NVSS
 305.104  57.063             9711.200     1942.240   0.274  0.000   0.000   0.000   0.0001 NVSS
  49.201  -0.350             9653.000     1930.600   0.796  0.000   0.000   0.000   0.000    GB6
   0.065   0.006             9489.100     1897.820   0.697  0.000   0.000   0.000   0.0001 NVSS
 351.368   0.649             9464.400     1892.880   2.000  0.000   0.000   0.000   0.0001 NVSS
  10.168  -0.325             9081.000     1816.200   0.272  0.000   0.000   0.000   0.0001 NVSS
 320.107   0.813             9006.308     1801.262   1.109  0.000   0.000   0.000   0.000   PCCS2
 309.721   1.731             8890.000     1778.000   0.421  0.000   0.000   0.000   0.000    AT20G
  75.832   0.400             8855.000     1771.000   0.979  0.000   0.000   0.000   0.000    GB6
  70.299   1.596             8807.000     1761.400   0.744  0.000   0.000   0.000   0.000    GB6
 136.927   0.874             8799.252     1759.850   0.607  0.000   0.000   0.000   0.000   PCCS2
  63.457  40.952             8719.000     1743.800   0.339  0.000   0.000   0.000   0.000    GB6
   0.501  -0.049             8694.900     1738.980  -0.120  0.000   0.000   0.000   0.0001 NVSS
 206.553 -16.351             8653.800     1730.760  -0.331  0.000   0.000   0.000   0.0000 NVSS
 345.394   1.390             8627.100     1725.420  -0.572  0.000   0.000   0.000   0.0001 NVSS
  26.714  -0.090             8591.428     1718.286   0.521  0.000   0.000   0.000   0.000   PCCS2
 314.221   0.382             8565.528     1713.106   0.682  0.000   0.000   0.000   0.000   PCCS2
  48.937  -0.300             8266.000     1653.200   0.372  0.000   0.000   0.000   0.000    GB6
 303.464  -0.717             8211.988     1642.398   0.294  0.000   0.000   0.000   0.000   PCCS2
 224.861   8.675             8078.200     1615.640   0.391  0.000   0.000   0.000   0.0000 NVSS
  12.806  -0.201             8067.700     1613.540  -0.186  0.000   0.000   0.000   0.0001 NVSS
 359.774  -0.323             8019.400     1603.880  -0.798  0.000   0.000   0.000   0.0001 NVSS
 311.632  -0.524             7945.077     1589.015   0.672  0.000   0.000   0.000   0.000   PCCS2
 311.367   0.404             7898.856     1579.771  -0.465  0.000   0.000   0.000   0.000   PCCS2
  45.448   0.058             7885.000     1577.000   0.676  0.000   0.000   0.000   0.000    GB6
 302.644   0.116             7852.069     1570.414   0.235  0.000   0.000   0.000   0.000   PCCS2
 320.289  -1.220             7767.527     1553.505   0.923  0.000   0.000   0.000   0.000   PCCS2
  79.298   1.296             7486.000     1497.200   0.372  0.000   0.000   0.000   0.000    GB6
 300.991   1.053             7468.271     1493.654  -0.496  0.000   0.000   0.000   0.000   PCCS2
  10.147  -0.336             7450.600     1490.120   0.684  0.000   0.000   0.000   0.0001 NVSS
  58.960 -48.843             7410.600     1482.120   0.378  0.000   0.000   0.000   0.0002 NVSS
 359.929  -0.052             7402.000     1480.400  -0.980  0.000   0.000   0.000   0.0001 NVSS
 292.806  -0.048             7360.772     1472.154  -0.513  0.000   0.000   0.000   0.000   PCCS2
  59.472  -0.151             7269.274     1453.855  -0.106  0.000   0.000   0.000   0.000   PCCS2
